Id,Name,Nationality,Age,Salary (per month),Bio,Link to Profile Image,Employed,Employee Name
15,Siti Nurmala,Indonesian,36,"AED2,650.00",Excellent cook (Southeast Asian cuisine). Very respectful and quiet worker.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=17,FALSE,
16,Tanya Singh,Fijian,48,"AED2,450.00",Good with outdoor maintenance and light gardening. Has a strong work ethic.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=18,FALSE,
17,Vanessa Wong,Singaporean,30,"AED3,050.00","Tech-savvy, can manage smart home systems and administrative duties. No dependents.",https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=19,FALSE,
18,Zara Hassan,Egyptian,39,"AED2,350.00",Patient and excels at caring for the elderly. Known for her kind nature.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=20,FALSE,
19,Chloe Davis,American,25,"AED3,150.00",Student working part-time. Specializes in tidying and creating aesthetic order. Own transportation.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=21,FALSE,
20,Evelyn Reid,British,58,"AED2,100.00",Calm and methodical. Has a history working in manor houses. Prefers a formal environment.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=22,FALSE,
21,Giselle Ndiaye,Senegalese,32,"AED2,780.00",Multilingual (French/Wolof/English). Excellent with younger children and tutoring assistance.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=23,FALSE,
22,Hana Kova,Czech,41,"AED2,580.00",Very knowledgeable about antique care and preservation. Has one son living abroad.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=24,FALSE,
23,Irene Gao,Taiwanese,44,"AED2,920.00",Highly experienced in preparing delicate traditional dishes. Known for her honesty.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=25,FALSE,
24,Jada Williams,Trinidadian,37,"AED2,620.00",Energetic and a motivational helper. Good at organizing large events and parties.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=26,FALSE,
25,Katerina Volkov,Ukrainian,28,"AED2,880.00",Quick learner with a focus on hygiene and sanitization. Supports her family in Eastern Europe.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=27,FALSE,
26,Luna Diaz,Peruvian,46,"AED2,420.00",Specializes in deep cleaning kitchens and organizing pantries. Has three school-aged children.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=28,TRUE,Mohamed Gamil
27,Michelle Lee,Korean,23,"AED3,020.00",Entry-level but enthusiastic and hardworking. A student saving for tuition.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=29,TRUE,
28,Nancy O'Connell,Irish,51,"AED2,250.00",Friendly and great storyteller for children. Prefers working with families with younger kids.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=30,TRUE,
29,Samira Bashir,Somali,34,"AED2,720.00",Excellent time management skills. Dedicated to her work and highly reliable.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=31,FALSE,
30,Willow Chen,Vietnamese,43,"AED2,520.00",Specializes in organic cleaning products and sustainable household practices. Has a large extended family.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=32,FALSE,
